D_ID  | D_FullName        | D_Phone    | D_Gender | D_Age | Sp_ID  | D_State
------+-------------------+------------+----------+-------+--------+--------
D_001 | Lê Hữu Hoàng      | 0352667148 | 1        | 19    | SP_001 | 1
D_002 | Lưu Mạnh Đông     | 0929056913 | 1        | 23    | SP_001 | 1
D_003 | Phan Tuấn Nhung   | 0909650116 | 0        | 54    | SP_001 | 1
D_004 | Tạ Thanh Tuyết    | 0917852800 | 0        | 34    | SP_001 | 1
D_005 | Võ Thanh Dũng     | 0392103077 | 1        | 28    | SP_001 | 1
D_006 | Nguyễn Gia Trung  | 0726866492 | 1        | 61    | SP_002 | 1
D_007 | Thái Đức Hằng     | 0953638678 | 0        | 31    | SP_002 | 1
D_008 | Võ Gia Trang      | 0531136179 | 0        | 33    | SP_002 | 1
D_009 | Quách Khánh Vinh  | 0775910747 | 1        | 29    | SP_002 | 1
D_010 | Lương Khánh Trung | 0363777135 | 1        | 43    | SP_002 | 1
D_011 | Lương Minh Đình   | 0843399545 | 1        | 33    | SP_003 | 1
D_012 | Thái Như Hương    | 0735313806 | 0        | 44    | SP_003 | 1
D_013 | Đỗ Khánh Anh      | 0553277737 | 0        | 23    | SP_003 | 1
D_014 | Mai Thanh Trung   | 0736310336 | 1        | 54    | SP_003 | 1
D_015 | Trịnh Đức Lan     | 0542783713 | 0        | 45    | SP_003 | 1
D_016 | Huỳnh Văn Tuấn    | 0814236391 | 1        | 55    | SP_004 | 1
D_017 | Trịnh Tuấn Huy    | 0735168485 | 1        | 49    | SP_004 | 1
D_018 | Phạm Bảo Thư      | 0503240764 | 0        | 38    | SP_004 | 1
D_019 | Vũ Bảo Kiên       | 0553781268 | 1        | 37    | SP_004 | 0
D_020 | Hà Hữu Trang      | 0572616694 | 0        | 27    | SP_004 | 0
D_021 | Thái Gia Anh      | 0935407026 | 0        | 29    | SP_005 | 1
D_022 | Lưu Minh Hải      | 0815101475 | 1        | 41    | SP_005 | 1
D_023 | Võ Thị Bình       | 0359464525 | 1        | 32    | SP_005 | 1
D_024 | Phan Thành Trung  | 0787391876 | 1        | 40    | SP_005 | 1
D_025 | Đỗ Công Thành     | 0396443498 | 1        | 31    | SP_005 | 1
D_026 | Vũ Thanh Oanh     | 0541514700 | 0        | 42    | SP_006 | 1
D_027 | Tô Hoàng Dũng     | 0548450644 | 1        | 52    | SP_006 | 1
D_028 | Vũ Xuân Phúc      | 0524850962 | 1        | 56    | SP_006 | 0
D_029 | Đặng Hữu Cường    | 0939642841 | 1        | 32    | SP_006 | 1
D_030 | Tạ Ngọc Minh      | 0878503764 | 1        | 19    | SP_006 | 1
D_031 | Mai Anh Khoa      | 0334053307 | 1        | 54    | SP_007 | 1
D_032 | Trần Gia Nam      | 0514818402 | 1        | 30    | SP_007 | 1
D_033 | Đỗ Phúc Chi       | 0582507981 | 0        | 27    | SP_007 | 1
D_034 | Huỳnh Khánh Duyên | 0829115133 | 0        | 40    | SP_007 | 0
D_035 | Lương Như Nhung   | 0771172186 | 0        | 40    | SP_007 | 0
D_036 | Tô Anh Đăng       | 0504723185 | 1        | 24    | SP_008 | 1
D_037 | Hà Thành Kiên     | 0524248346 | 1        | 32    | SP_008 | 0
D_038 | Đinh Bảo Nhật     | 0934065106 | 1        | 46    | SP_008 | 1
D_039 | Huỳnh Quốc Vinh   | 0379254011 | 1        | 45    | SP_008 | 1
D_040 | Tô Thị Thắng      | 0819760778 | 1        | 37    | SP_008 | 1
D_041 | Tạ Gia Yến        | 0839847670 | 0        | 43    | SP_009 | 1
D_042 | Huỳnh Anh Tùng    | 0358455506 | 1        | 44    | SP_009 | 1
D_043 | Phan Văn Quỳnh    | 0364179161 | 0        | 22    | SP_009 | 1
D_044 | Vũ Văn Tâm        | 0572223884 | 1        | 19    | SP_009 | 1
D_045 | Dương Xuân Tuyết  | 0828132753 | 0        | 27    | SP_009 | 1
D_046 | Tạ Văn Quỳnh      | 0988030411 | 0        | 25    | SP_010 | 1
D_047 | Vũ Công Đăng      | 0852798995 | 1        | 34    | SP_010 | 1
D_048 | Cao Thị Chi       | 0703086889 | 0        | 32    | SP_010 | 0
D_049 | Tô Quốc Trung     | 0577232143 | 1        | 39    | SP_010 | 0
D_050 | Mai Văn Quang     | 0527643556 | 1        | 47    | SP_010 | 1
